"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id","gene_length","gene_biotype","entrezgene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF101","ENSG00000181896","ZNF101","ENSG00000181896.10",6560,"protein_coding","94039",0.191475023001839,3.55977563422192,1.76260238102422,0.081264301760199,0.142888947098085,-5.51422281570723
"NPIPB15","ENSG00000196436","NPIPB15","ENSG00000196436.8",1702,"protein_coding","440348",-0.958054108568514,0.298877109360458,-1.76183645622155,0.0813944734531186,0.143099435461665,-5.03947330582363
"MARK1","ENSG00000116141","MARK1","ENSG00000116141.14",5417,"protein_coding","4139",-0.580634468058839,0.661006712862188,-1.7614528050724,0.0814597409669065,0.143195776499852,-5.08308408504519
"NSUN3","ENSG00000178694","NSUN3","ENSG00000178694.8",5635,"protein_coding","63899",-0.198518869062666,3.34947613561383,-1.76124097303013,0.0814957967547388,0.14324074890919,-5.47529393810448
"TTC9C","ENSG00000162222","TTC9C","ENSG00000162222.12",2657,"protein_coding","283237",0.151556912686246,4.33999941366922,1.76085476243297,0.0815615672666566,0.143337931012891,-5.64019059328806
"TMEM170A","ENSG00000166822","TMEM170A","ENSG00000166822.11",5572,"protein_coding","124491",-0.17919565569604,5.19672271951517,-1.76078131655934,0.0815740798314865,0.143341503588781,-5.72803683270009
"WASF3","ENSG00000132970","WASF3","ENSG00000132970.11",5162,"protein_coding","10810",-0.556083653327432,1.2471788377428,-1.76028010196147,0.0816595112367593,0.143473191354707,-5.15664836029931
"ZNF706","ENSG00000120963","ZNF706","ENSG00000120963.10",7393,"protein_coding","51123",-0.182506300006247,6.51612042125483,-1.75981058163155,0.0817396072987967,0.143595472467627,-5.79533246227059
"CARS","ENSG00000110619","CARS","ENSG00000110619.15",10037,"protein_coding","833",-0.147734823561667,6.0683806390151,-1.7596214501064,0.0817718897776191,0.143612294570779,-5.78282606614824
"LYPD8","ENSG00000259823","LYPD8","ENSG00000259823.4",2237,"protein_coding","646627",-1.02649141456565,2.49466740425203,-1.7596079894699,0.0817741877471317,0.143612294570779,-5.33318786314126
"PIGR","ENSG00000162896","PIGR","ENSG00000162896.5",4376,"protein_coding","5284",0.99177387869525,10.3177386610138,1.75956995284059,0.0817806815624943,0.143612294570779,-5.783527950867
"FAM151A","ENSG00000162391","FAM151A","ENSG00000162391.10",2005,"protein_coding","338094",-0.398168593404589,-0.0364905949075646,-1.75931166354453,0.0818247893287046,0.143671305319387,-5.01122073671117
"TDG","ENSG00000139372","TDG","ENSG00000139372.13",4903,"protein_coding","6996",-0.185644901531024,4.59690176636985,-1.75917253501884,0.0818485562727082,0.143694590257746,-5.66871502377989
"LRRC8C","ENSG00000171488","LRRC8C","ENSG00000171488.13",11724,"protein_coding","84230",0.277582798775327,2.9371184598992,1.75894702480384,0.0818870916507399,0.143743793583011,-5.41310778476853
"SPATA12","ENSG00000186451","SPATA12","ENSG00000186451.1",2413,"protein_coding","353324",-0.412891004934328,-0.524044535969461,-1.75874656098795,0.0819213596336546,0.143781190570254,-4.96265861057176
"NANP","ENSG00000170191","NANP","ENSG00000170191.4",3964,"protein_coding","140838",-0.252181840405343,3.55002631439163,-1.75869942198765,0.0819294194549322,0.143781190570254,-5.51452553534059
"WFDC3","ENSG00000124116","WFDC3","ENSG00000124116.17",2405,"protein_coding","140686",-0.565001054765877,0.246166060617767,-1.75765253141508,0.0821085852057942,0.144074719039375,-5.04319265620275
"AP4M1","ENSG00000221838","AP4M1","ENSG00000221838.8",4722,"protein_coding","9179",-0.16240487909273,4.72700022803515,-1.75756031874002,0.082124382023829,0.144074719039375,-5.69004369453998
"AXIN1","ENSG00000103126","AXIN1","ENSG00000103126.13",7487,"protein_coding","8312",-0.19532593866237,6.35795237673057,-1.75753757944528,0.0821282778439835,0.144074719039375,-5.79570036165511
"MDM1","ENSG00000111554","MDM1","ENSG00000111554.13",6549,"protein_coding","56890",-0.265982656853595,2.80883499083609,-1.75697568043021,0.0822245938428191,0.144225185250331,-5.38982268917886
"CDC26","ENSG00000176386","CDC26","ENSG00000176386.7",1175,"protein_coding","246184",-0.25070733322349,2.52044552261054,-1.75669161192249,0.0822733218865945,0.14429215242529,-5.34406344517124
"ACP1","ENSG00000143727","ACP1","ENSG00000143727.14",4160,"protein_coding","52",-0.150887055016725,6.75703762840931,-1.75615058744609,0.0823661930064225,0.144436511274596,-5.80611295172764
"AKAP12","ENSG00000131016","AKAP12","ENSG00000131016.15",8741,"protein_coding","9590",-0.532201745332725,4.1585996670388,-1.75571767659736,0.0824405677635137,0.144548402239372,-5.60759995122824
"RPL27","ENSG00000131469","RPL27","ENSG00000131469.11",2026,"protein_coding","6155",0.17253621098385,9.43652202590342,1.75559843969452,0.0824610625646146,0.144565805403589,-5.79867864854097
"TBC1D20","ENSG00000125875","TBC1D20","ENSG00000125875.12",5831,"protein_coding","128637",0.162271757052743,5.56296204912857,1.75534546371434,0.0825045587447648,0.14462352358207,-5.77038969143995
"TNFSF4","ENSG00000117586","TNFSF4","ENSG00000117586.9",3942,"protein_coding","7292",0.446774347863495,2.11910855079942,1.75520715547561,0.0825283471751119,0.144646685374318,-5.28877806610622
"SH3BP2","ENSG00000087266","SH3BP2","ENSG00000087266.14",13968,"protein_coding","6452",0.173761183857384,6.03780222868206,1.75429672078548,0.0826850791309207,0.144902820288627,-5.79526030306775
"NEK7","ENSG00000151414","NEK7","ENSG00000151414.13",5485,"protein_coding","140609",-0.25453322155361,5.45951803279285,-1.75403115048169,0.0827308434014649,0.144959734858522,-5.75639607878917
"CCNY","ENSG00000108100","CCNY","ENSG00000108100.16",5743,"protein_coding","219771",-0.121588929432074,6.35224502374496,-1.75398526902671,0.0827387520134872,0.144959734858522,-5.80170121756762
"CEP85","ENSG00000130695","CEP85","ENSG00000130695.12",5422,"protein_coding","64793",0.169881153255542,4.46191627867169,1.75273825664901,0.0829539387914591,0.145318132017108,-5.6692751105812
"XDH","ENSG00000158125","XDH","ENSG00000158125.8",6037,"protein_coding","7498",0.572505716480426,3.87431359771263,1.75203185552095,0.0830760410228618,0.145513393406416,-5.58694402657254
"PAPOLG","ENSG00000115421","PAPOLG","ENSG00000115421.11",8501,"protein_coding","64895",-0.183966958131297,3.94995425800724,-1.75172796466226,0.083128614404712,0.145586835829405,-5.58945666259205
"PRDM10","ENSG00000170325","PRDM10","ENSG00000170325.13",6626,"protein_coding","56980",-0.147776848332885,3.63249440314042,-1.75026161284552,0.0833826796469302,0.146013095917387,-5.54296958937034
"GMIP","ENSG00000089639","GMIP","ENSG00000089639.9",3740,"protein_coding","51291",0.160088169356342,5.2276239023603,1.75015510167488,0.0834011590170974,0.146026760501262,-5.75552011903627
"LENG1","ENSG00000105617","LENG1","ENSG00000105617.3",1542,"protein_coding","79165",0.179190546233031,3.22378577643105,1.7498448945461,0.083454998234391,0.146102325079995,-5.47836851447214
"PLD6","ENSG00000179598","PLD6","ENSG00000179598.5",2560,"protein_coding","201164",0.315195696915011,2.31627006923937,1.74976649724257,0.0834686093138595,0.146107453057969,-5.32815385387664
"SNRNP200","ENSG00000144028","SNRNP200","ENSG00000144028.13",10926,"protein_coding","23020",-0.178675225394862,8.38425586388558,-1.74933200569686,0.0835440774199552,0.14622084337174,-5.81787214185479
"PC","ENSG00000173599","PC","ENSG00000173599.12",5927,"protein_coding","5091",-0.296240100862899,4.03078449809537,-1.74913999416808,0.0835774463508321,0.146260531113956,-5.60958288410156
"IL1RL2","ENSG00000115598","IL1RL2","ENSG00000115598.8",2644,"protein_coding","8808",-0.656440202907749,0.562019672707056,-1.74886545830705,0.0836251759141129,0.146325336593736,-5.09174151332642
"C5","ENSG00000106804","C5","ENSG00000106804.7",6533,"protein_coding","727",-0.350752917341828,1.87183068065393,-1.7486732415596,0.0836586071973245,0.146365109905987,-5.25947748981939
"CBFB","ENSG00000067955","CBFB","ENSG00000067955.12",4129,"protein_coding","865",-0.19845567186752,6.06010610482302,-1.74816323617886,0.0837473631507203,0.146501654070284,-5.80087098955512
"LSS","ENSG00000160285","LSS","ENSG00000160285.13",7238,"protein_coding","4047",-0.257202450057211,6.34602753584653,-1.74806461941936,0.0837645343070715,0.146512953996435,-5.81054088044432
"PRR15L","ENSG00000167183","PRR15L","ENSG00000167183.2",1519,"protein_coding","79170",-0.280971643121764,7.04792939646257,-1.7469209371259,0.0839638840270686,0.146842859701092,-5.82382141347716
"CDK5","ENSG00000164885","CDK5","ENSG00000164885.11",2938,"protein_coding","1020",0.180272248182798,4.50626835973374,1.74651906231507,0.0840340254800736,0.146946740030228,-5.68775588354836
"PRKACA","ENSG00000072062","PRKACA","ENSG00000072062.12",6144,"protein_coding","5566",0.205134929027764,5.89626532765448,1.74633065630998,0.0840669256230508,0.146985479825142,-5.80346975645101
"MEIS1","ENSG00000143995","MEIS1","ENSG00000143995.18",10934,"protein_coding","4211",-0.353817013449114,2.63117218723009,-1.7460512369798,0.084115738352974,0.147052028270958,-5.38124212188163
"AP2A1","ENSG00000196961","AP2A1","ENSG00000196961.11",8746,"protein_coding","160",0.177113700452591,7.08327539415365,1.74564867350802,0.0841861045456929,0.14715308039261,-5.82953078397038
"FAM104A","ENSG00000133193","FAM104A","ENSG00000133193.11",3162,"protein_coding","84923",0.129767171414662,4.37056789499745,1.74559746923789,0.0841950582799068,0.14715308039261,-5.67013670978344
"PLVAP","ENSG00000130300","PLVAP","ENSG00000130300.7",2305,"protein_coding","83483",0.321423458699453,6.53548616579436,1.7451897609852,0.0842663793334883,0.147258916126671,-5.82570030263281
"PRPF4","ENSG00000136875","PRPF4","ENSG00000136875.11",3613,"protein_coding","9128",0.13656152294481,5.79962168447225,1.74512768606613,0.0842772425550609,0.147259085803286,-5.80003587873547
"TM7SF2","ENSG00000149809","TM7SF2","ENSG00000149809.13",3408,"protein_coding","7108",0.316506461541183,4.41229032331218,1.74500574011095,0.0842985866684764,0.147277566541247,-5.67916041585041
"NIF3L1","ENSG00000196290","NIF3L1","ENSG00000196290.13",1985,"protein_coding","60491",0.143358478215527,4.87840266996318,1.7447837244143,0.0843374573316854,0.147312540301783,-5.73186506864596
"KCNAB2","ENSG00000069424","KCNAB2","ENSG00000069424.13",9534,"protein_coding","8514",0.34571787106015,4.90216726911638,1.74476837658545,0.0843401449848852,0.147312540301783,-5.73701292936988
"TBC1D13","ENSG00000107021","TBC1D13","ENSG00000107021.14",3982,"protein_coding","54662",0.177130072555487,5.077663629822,1.74440482039408,0.0844038301552413,0.147404952612792,-5.7526542608672
"GRID2IP","ENSG00000215045","GRID2IP","ENSG00000215045.7",4134,"protein_coding","392862",-0.445220765893835,0.192150551958041,-1.74341144820775,0.08457804364422,0.147690346095448,-5.06184645556679
"BACE1","ENSG00000186318","BACE1","ENSG00000186318.15",7190,"protein_coding","23621",-0.257040230980102,4.54965114307462,-1.74291018701636,0.0846660649185703,0.147825176915523,-5.6907623609913
"C12orf49","ENSG00000111412","C12orf49","ENSG00000111412.5",8664,"protein_coding","79794",-0.152116481009283,6.06338294317786,-1.74284191627515,0.0846780590596254,0.147825978219864,-5.81155551030032
"AGR3","ENSG00000173467","AGR3","ENSG00000173467.7",1160,"protein_coding","155465",0.759061928712407,4.22027596243814,1.74278454728933,0.084688139006496,0.147825978219864,-5.65629410699888
"MERTK","ENSG00000153208","MERTK","ENSG00000153208.15",4700,"protein_coding","10461",0.338662595622833,3.22802572519049,1.74232430249229,0.084769041456191,0.147948315559242,-5.49266507504757
"COPS8","ENSG00000198612","COPS8","ENSG00000198612.9",4743,"protein_coding","10920",-0.161119744550619,5.26900706760714,-1.74224508361015,0.0847829730645529,0.147953751668405,-5.76583477831628
"ARHGAP8","ENSG00000241484","ARHGAP8","ENSG00000241484.8",4990,"protein_coding","23779",-0.335559569329714,1.66869261073673,-1.74202455282504,0.0848217660105041,0.148002566078795,-5.24346307292989
"DOT1L","ENSG00000104885","DOT1L","ENSG00000104885.16",11272,"protein_coding","84444",0.209485767621024,5.92416240476679,1.74191628229517,0.0848408169121103,0.148016925219878,-5.81252653732779
"ALDH1L1","ENSG00000144908","ALDH1L1","ENSG00000144908.12",13712,"protein_coding","10840",0.98692247216974,2.56965349815912,1.74140560690518,0.0849307209793076,0.148154878402623,-5.3823405153395
"UQCC2","ENSG00000137288","UQCC2","ENSG00000137288.8",4689,"protein_coding","84300",0.193013934867694,5.06057394304656,1.74092516342541,0.0850153742102862,0.148283637904654,-5.75749542509748
"DHX34","ENSG00000134815","DHX34","ENSG00000134815.17",5696,"protein_coding","9704",-0.210875538928667,5.28338317638666,-1.739957265524,0.085186126557386,0.148562519323209,-5.77191786845798
"C4orf48","ENSG00000243449","C4orf48","ENSG00000243449.5",540,"protein_coding","401115",0.604906195534757,3.11121940682176,1.73960700842974,0.0852479867929409,0.148651448668262,-5.47598012342097
"SEPT10","ENSG00000186522","SEPT10","ENSG00000186522.13",4131,"protein_coding","151011",-0.201476202870795,5.72168685731761,-1.73949325991402,0.0852680842882694,0.148655078830128,-5.79931347081007
"ZP3","ENSG00000188372","ZP3","ENSG00000188372.13",2716,"protein_coding","7784",-0.459378969964626,3.40657400080421,-1.73947220383415,0.0852718049788849,0.148655078830128,-5.52267185601927
"ZER1","ENSG00000160445","ZER1","ENSG00000160445.9",4370,"protein_coding","10444",0.161953981382314,5.74094223824359,1.73888947312734,0.0853748286863071,0.148815713874259,-5.80822109205586
"CRBN","ENSG00000113851","CRBN","ENSG00000113851.12",7163,"protein_coding","51185",-0.159601341538887,4.76468970460893,-1.73851263673997,0.0854415057967862,0.148912960791086,-5.72411074451503
"MSRB3","ENSG00000174099","MSRB3","ENSG00000174099.9",5791,"protein_coding","253827",-0.458986873231778,3.81855968908039,-1.73817873657634,0.085500621548141,0.14899700618365,-5.58795051091171
"FERMT2","ENSG00000073712","FERMT2","ENSG00000073712.12",8510,"protein_coding","10979",-0.380735543542599,4.18424147089127,-1.73754036427868,0.0856137364529747,0.149175119389018,-5.64717266646978
"VPS37D","ENSG00000176428","VPS37D","ENSG00000176428.5",1626,"protein_coding","155382",0.504734667916655,0.642220738734914,1.73670780607866,0.0857614443369007,0.149413455055423,-5.12640149054991
"CDC37L1","ENSG00000106993","CDC37L1","ENSG00000106993.10",3949,"protein_coding","55664",-0.223402828019061,3.93122211425999,-1.73641625181728,0.0858132197378757,0.149484617877568,-5.61169670656061
"ZNF689","ENSG00000156853","ZNF689","ENSG00000156853.10",4159,"protein_coding","115509",0.195692333621394,3.75902706250184,1.73533096193775,0.0860061756246712,0.14978774432803,-5.5953736899602
"GTF2A2","ENSG00000140307","GTF2A2","ENSG00000140307.9",3204,"protein_coding","2958",0.28113294270556,5.30269951829332,1.73531433423941,0.0860091346653272,0.14978774432803,-5.78664653073348
"TUSC1","ENSG00000198680","TUSC1","ENSG00000198680.4",2052,"protein_coding","286319",-0.388937367944389,3.5585425206499,-1.7337941819238,0.0862800120722338,0.150240357113178,-5.55895721832853
"PRPF39","ENSG00000185246","PRPF39","ENSG00000185246.16",4932,"protein_coding","55015",-0.174602739232757,4.30425308179947,-1.73348194735507,0.0863357360490159,0.150312653852592,-5.67321710146311
"NUS1","ENSG00000153989","NUS1","ENSG00000153989.7",4676,"protein_coding","116150",-0.190478634554144,5.07747543182675,-1.73343840469003,0.0863435093814751,0.150312653852592,-5.76240699879977
"CKAP2L","ENSG00000169607","CKAP2L","ENSG00000169607.11",5219,"protein_coding","150468",-0.254940588633938,4.04796218245022,-1.73329138183781,0.0863697604694449,0.150339219101688,-5.6337533358693
"THUMPD2","ENSG00000138050","THUMPD2","ENSG00000138050.13",3823,"protein_coding","80745",-0.185765080370957,3.42137310089749,-1.73312222040178,0.0863999725294898,0.150372671365105,-5.53574549627717
"KRT10","ENSG00000186395","KRT10","ENSG00000186395.6",2124,"protein_coding","3858",0.254695679843016,4.0614435572951,1.73283105101997,0.0864519953978114,0.150444070362756,-5.64848283192141
"IFRD2","ENSG00000214706","IFRD2","ENSG00000214706.9",3712,"protein_coding","7866",0.213259027390192,6.54303089136103,1.73272760631627,0.0864704839212228,0.150457102032119,-5.84611853368422
"AKR7A3","ENSG00000162482","AKR7A3","ENSG00000162482.4",1710,"protein_coding","22977",0.470272560275512,4.609537203326,1.73233072135399,0.086541448711298,0.150561426541991,-5.7264670734875
"DOCK9","ENSG00000088387","DOCK9","ENSG00000088387.16",13945,"protein_coding","23348",-0.248846298622067,5.98609837946161,-1.73223718141835,0.0865581810240102,0.150571384973472,-5.82443714339405
"ARL3","ENSG00000138175","ARL3","ENSG00000138175.8",3844,"protein_coding","403",0.190193916074922,4.36672175924644,1.73191252350258,0.0866162760455029,0.150653283793284,-5.693642476381
"ELP4","ENSG00000109911","ELP4","ENSG00000109911.16",2219,"protein_coding","26610",-0.182348051613254,3.80972045570539,-1.73157933677377,0.0866759304956315,0.150737873785028,-5.60350913580532
"GLRX3","ENSG00000108010","GLRX3","ENSG00000108010.10",5173,"protein_coding","10539",-0.196120979800948,6.19915515337199,-1.73141255365561,0.0867058043533666,0.150770657506401,-5.83493188522533
"PLEKHF2","ENSG00000175895","PLEKHF2","ENSG00000175895.3",3137,"protein_coding","79666",-0.213871426696453,4.64708043428059,-1.73112853664124,0.0867566963541559,0.150839976195773,-5.72192673968286
"HMGB3","ENSG00000029993","HMGB3","ENSG00000029993.13",3967,"protein_coding","3149",-0.224979687943272,6.26912296921672,-1.73086378433111,0.0868041584495961,0.150903314600099,-5.83710453127279
"COL6A2","ENSG00000142173","COL6A2","ENSG00000142173.13",5386,"protein_coding","1292",0.416822994371202,8.78499555818403,1.73075267160698,0.0868240839514566,0.15091877243462,-5.84695113227847
"LINC01451","ENSG00000279141","LINC01451","ENSG00000279141.2",3406,"lincRNA","401561",0.66619325866858,-2.06792114353057,1.72955672248081,0.0870387874610252,0.151272749033279,-4.87658819562815
"LINC01480","ENSG00000270164","LINC01480","ENSG00000270164.1",1722,"lincRNA","101927931",0.409996306686444,-1.80885654205738,1.72943517341524,0.0870606329914383,0.151291492574882,-4.8974652387631
"MORC3","ENSG00000159256","MORC3","ENSG00000159256.11",6408,"protein_coding","23515",-0.207119296102576,4.71990556365554,-1.72915072703522,0.0871117729856979,0.151361131973879,-5.73230827372752
"VEZT","ENSG00000028203","VEZT","ENSG00000028203.16",8757,"protein_coding","55591",-0.185151521072702,5.59151398133616,-1.72903820828502,0.0871320092860451,0.15137706376407,-5.81005549817828
"TMEM138","ENSG00000149483","TMEM138","ENSG00000149483.10",6348,"protein_coding","51524",0.167299942894606,4.45508924475449,1.72849557456217,0.0872296551513348,0.151527460396235,-5.71034833854987
"NDUFS1","ENSG00000023228","NDUFS1","ENSG00000023228.12",12268,"protein_coding","4719",-0.163915707585285,6.92087451093519,-1.72817668924759,0.0872870797862107,0.151607959024227,-5.85517536743929
"COLEC12","ENSG00000158270","COLEC12","ENSG00000158270.11",7340,"protein_coding","81035",0.481705286082816,2.41765513978617,1.72768921539131,0.0873749236374071,0.151741265301226,-5.38127279173365
"AMY2B","ENSG00000240038","AMY2B","ENSG00000240038.5",7491,"protein_coding","280",-0.452461781605282,0.734089357124074,-1.72738711926928,0.0874293983894609,0.151816594029586,-5.14884449631083
"MCPH1","ENSG00000147316","MCPH1","ENSG00000147316.11",9775,"protein_coding","79648",0.204368850915947,4.08169350279463,1.72727096016179,0.0874503519104928,0.151825666756068,-5.65885333216562
"FAM161B","ENSG00000156050","FAM161B","ENSG00000156050.7",5056,"protein_coding","145483",0.250362775975659,1.53897789358582,1.72723508991282,0.0874568232468971,0.151825666756068,-5.25269312360154
"GRAMD2B","ENSG00000155324","GRAMD2B","ENSG00000155324.8",5051,"protein_coding","65983",-0.244343865066667,4.05336825327891,-1.7270576088109,0.087488848315085,0.151853188497452,-5.64760120328628
"PSD2","ENSG00000146005","PSD2","ENSG00000146005.3",4513,"protein_coding","84249",0.661511382789888,-2.21363983601294,1.72702418350433,0.0874948807244057,0.151853188497452,-4.87079345708766
"SRPX","ENSG00000101955","SRPX","ENSG00000101955.13",1987,"protein_coding","8406",0.415446192846054,2.14941769080558,1.72653649011948,0.0875829356477108,0.151986728468585,-5.34176933094285
"TRANK1","ENSG00000168016","TRANK1","ENSG00000168016.12",11177,"protein_coding","9881",0.306223182110331,4.86371946950158,1.72612820700279,0.0876567085989477,0.152095453535,-5.76339032280637
"TBC1D1","ENSG00000065882","TBC1D1","ENSG00000065882.14",9032,"protein_coding","23216",0.19284255055891,5.83178451704307,1.72584221090901,0.0877084157590809,0.152165868943773,-5.83473369605257
"EPC2","ENSG00000135999","EPC2","ENSG00000135999.10",5582,"protein_coding","26122",-0.139665412610852,4.58453127213211,-1.72530403975344,0.0878057831374156,0.152299362390036,-5.72600744695388
"FGF7","ENSG00000140285","FGF7","ENSG00000140285.8",6657,"protein_coding","2252",-0.497257041718478,1.63896088369044,-1.72529383296038,0.0878076306337055,0.152299362390036,-5.26561312156424
"ANKDD1A","ENSG00000166839","ANKDD1A","ENSG00000166839.15",5042,"protein_coding","348094",0.249295125827564,1.35381017358821,1.72484621327592,0.0878886840670842,0.152420618824595,-5.23267538438426
"FOXA1","ENSG00000129514","FOXA1","ENSG00000129514.5",3982,"protein_coding","3169",0.670248543635353,4.28473133269899,1.72452246582146,0.0879473453490366,0.152503015933586,-5.69639518129025
"GATM","ENSG00000171766","GATM","ENSG00000171766.14",6644,"protein_coding","2628",-0.54564604081177,3.34633404501491,-1.72423476496878,0.0879995021064593,0.152574114566124,-5.53338011155707
"SPTY2D1","ENSG00000179119","SPTY2D1","ENSG00000179119.13",6005,"protein_coding","144108",-0.166742496365013,5.0856441370728,-1.72381603271787,0.088075458596306,0.152686454078615,-5.77973703250065
"TROAP","ENSG00000135451","TROAP","ENSG00000135451.11",3954,"protein_coding","10024",0.23354232103646,4.84313122260697,1.72343351315898,0.0881448931847326,0.152787460268758,-5.76535199472166
"KLHL13","ENSG00000003096","KLHL13","ENSG00000003096.12",6983,"protein_coding","90293",-0.697981620603446,1.14297663207055,-1.72326241704728,0.0881759649035225,0.15280766965899,-5.2043248072905
"BCAT1","ENSG00000060982","BCAT1","ENSG00000060982.13",11775,"protein_coding","586",0.424536308260175,3.40301671382276,1.72324628069862,0.088178895790204,0.15280766965899,-5.55460679801998
"AGGF1","ENSG00000164252","AGGF1","ENSG00000164252.11",5051,"protein_coding","55109",-0.135735060028807,5.12611059865595,-1.72290448634629,0.0882409955353242,0.152851307847117,-5.78705990334121
"NOC4L","ENSG00000184967","NOC4L","ENSG00000184967.5",2029,"protein_coding","79050",0.21390251048394,5.24174019595095,1.72290150788588,0.0882415368416482,0.152851307847117,-5.80420476053694
"GTF3C2","ENSG00000115207","GTF3C2","ENSG00000115207.12",5839,"protein_coding","2976",-0.109004614128355,6.08693555438402,-1.72288202541002,0.0882450776599999,0.152851307847117,-5.84624578819449
"SNRPA","ENSG00000077312","SNRPA","ENSG00000077312.7",2361,"protein_coding","6626",0.15643372641343,6.48931850122449,1.722861668873,0.0882487774578656,0.152851307847117,-5.86095307523415
"WDR83","ENSG00000123154","WDR83","ENSG00000123154.10",2360,"protein_coding","84292",0.268873853270617,2.86848287991401,1.72259373484679,0.0882974862770848,0.152898283424802,-5.46422841005798
"GPR143","ENSG00000101850","GPR143","ENSG00000101850.11",2486,"protein_coding","4935",-0.911975859905434,1.36910911004926,-1.72258950370956,0.0882982556494011,0.152898283424802,-5.23382273827701
"LTB4R2","ENSG00000213906","LTB4R2","ENSG00000213906.8",3233,"protein_coding","56413",-0.39027197381251,0.434894304660547,-1.72248812470089,0.0883166916271452,0.152910849123556,-5.12299485310277
"PPIP5K2","ENSG00000145725","PPIP5K2","ENSG00000145725.18",17270,"protein_coding","23262",-0.292686396394996,5.09403686863438,-1.72176040210117,0.0884491220371913,0.153120755755563,-5.78044972385725
"TFDP2","ENSG00000114126","TFDP2","ENSG00000114126.16",11897,"protein_coding","7029",-0.189885910028867,5.55950392752824,-1.72111829314522,0.0885661075862418,0.153303874913264,-5.82198906978252
"ATL2","ENSG00000119787","ATL2","ENSG00000119787.12",4885,"protein_coding","64225",-0.180079220177196,5.74873862286138,-1.72105242678049,0.0885781149138017,0.15330525822991,-5.83239184958817
"ERVMER34-1","ENSG00000226887","ERVMER34-1","ENSG00000226887.6",4077,"protein_coding","100288413",-0.797504539749033,0.0358268439194325,-1.72073614892885,0.0886357904084803,0.153385670699291,-5.08048720575891
"FAM49B","ENSG00000153310","FAM49B","ENSG00000153310.17",9131,"protein_coding","51571",-0.238992031272883,6.20660837869685,-1.72063283850224,0.0886546364554916,0.153393237787201,-5.85165274658164
"CRAMP1","ENSG00000007545","CRAMP1","ENSG00000007545.14",8373,"protein_coding","57585",-0.162675651633833,4.1961646856254,-1.72058923129597,0.088662592334085,0.153393237787201,-5.68259820860305
"DGCR2","ENSG00000070413","DGCR2","ENSG00000070413.17",5636,"protein_coding","9993",0.162138752755836,7.2785954874275,1.72022010601009,0.0887299604996873,0.153459204529093,-5.87282168852253
"EI24","ENSG00000149547","EI24","ENSG00000149547.13",3558,"protein_coding","9538",-0.185131548018808,7.28145559125861,-1.72018783222157,0.0887358527032727,0.153459204529093,-5.87075302289177
"CNRIP1","ENSG00000119865","CNRIP1","ENSG00000119865.7",3548,"protein_coding","25927",0.270491953009619,1.96635533361555,1.72016584931759,0.0887398662905341,0.153459204529093,-5.32451998922781
"TFR2","ENSG00000106327","TFR2","ENSG00000106327.11",5065,"protein_coding","7036",0.509728015387767,2.34537318633953,1.72013445010174,0.0887455993438459,0.153459204529093,-5.3831582888141
"PRSS23","ENSG00000150687","PRSS23","ENSG00000150687.10",11725,"protein_coding","11098",-0.403822139327467,6.7296878173705,-1.7197933016654,0.0888079077821109,0.153547536675984,-5.86482325691736
"FGGY","ENSG00000172456","FGGY","ENSG00000172456.15",6229,"protein_coding","55277",-0.454444955800319,4.0323034226544,-1.71968607653037,0.0888274991202806,0.153561998605561,-5.65657744928516
"POU6F1","ENSG00000184271","POU6F1","ENSG00000184271.14",6021,"protein_coding","5463",0.263389748916435,1.97937217693118,1.71856331252215,0.0890328543989238,0.153897558760076,-5.32901241486924
"MYBL1","ENSG00000185697","MYBL1","ENSG00000185697.15",7239,"protein_coding","4603",-0.427498020665811,1.58074374585191,-1.71832249405789,0.0890769510550792,0.153946089198511,-5.26993015077809
"NETO2","ENSG00000171208","NETO2","ENSG00000171208.8",7481,"protein_coding","81831",-0.574099055420118,4.11948729882405,-1.71820231784621,0.0890989634012104,0.153946089198511,-5.66617513034279
"SRP72","ENSG00000174780","SRP72","ENSG00000174780.14",4697,"protein_coding","6731",-0.196034964490681,6.84697933017157,-1.71817617215546,0.0891037530252248,0.153946089198511,-5.87071745808526
"POLR3A","ENSG00000148606","POLR3A","ENSG00000148606.11",8917,"protein_coding","11128",-0.142076190043825,5.23814057956188,-1.71810335240498,0.0891170939722262,0.153946089198511,-5.80563676432478
"CCM2L","ENSG00000101331","CCM2L","ENSG00000101331.14",2587,"protein_coding","140706",0.257612282458911,0.521752829173237,1.71810274470297,0.0891172053131898,0.153946089198511,-5.14283219537011
"HELB","ENSG00000127311","HELB","ENSG00000127311.8",13796,"protein_coding","92797",0.238330627254234,3.04245937957874,1.71778059983479,0.0891762435635962,0.154028622232967,-5.50066833072643
"MARS2","ENSG00000247626","MARS2","ENSG00000247626.4",3019,"protein_coding","92935",-0.225741629893753,4.53460528583237,-1.71738059455586,0.0892495955464945,0.154135854530928,-5.73395071396193
"PDIK1L","ENSG00000175087","PDIK1L","ENSG00000175087.8",4535,"protein_coding","149420",-0.205161192327798,3.82545848728593,-1.71728145170007,0.0892677837545047,0.154147802827183,-5.62764160927167
